Movie_Name,Country,Rating,Gross,year
Harold & Kumar Go to White Castle,"['USA', 'Canada', 'Germany']",7.1,$18.23M,2004
Walking Tall,['USA'],6.2,$45.86M,2004
The Grudge,"['USA', 'Japan']",5.9,$110.18M,2004
A Cinderella Story,"['USA', 'Canada']",5.9,$51.43M,2004
Sideways,"['USA', 'Hungary']",7.5,$71.50M,2004
13 Going on 30,['USA'],6.1,$56.04M,2004
Kung Fu Hustle,"['Hong Kong', 'China']",7.8,$17.10M,2004
Around the World in 80 Days,"['USA', 'Germany', 'Ireland', 'UK']",5.8,$24.00M,2004
The Princess Diaries 2: Royal Engagement,['USA'],5.7,$95.15M,2004
The Manchurian Candidate,['USA'],6.6,$65.95M,2004
Before Sunset,['USA'],8.0,$5.79M,2004
Bridget Jones: The Edge of Reason,"['UK', 'France', 'Germany', 'Ireland', 'USA']",5.9,$40.20M,2004
Friday Night Lights,"['Germany', 'USA']",7.3,$61.19M,2004
Garden State,['USA'],7.6,$26.78M,2004
Hotel Rwanda,"['UK', 'South Africa', 'Italy']",8.1,$23.47M,2004
Ella Enchanted,"['USA', 'Ireland', 'UK']",6.3,$22.91M,2004
Shark Tale,['USA'],6.0,$160.76M,2004
The Polar Express,['USA'],6.6,$0.58M,2004
Meet the Fockers,['USA'],6.3,$279.17M,2004
Catwoman,['USA'],3.3,$40.20M,2004
Ray,['USA'],7.7,$75.31M,2004
Secret Window,['USA'],6.6,$47.78M,2004
Dirty Dancing: Havana Nights,['USA'],6.0,$14.14M,2004
Jersey Girl,['USA'],6.2,$25.27M,2004
Beyond the Sea,"['UK', 'Germany', 'USA']",6.7,$6.14M,2004
Scooby-Doo 2: Monsters Unleashed,"['USA', 'Canada']",4.9,$84.19M,2004
Chasing Liberty,"['USA', 'UK']",6.1,$12.19M,2004
Team America: World Police,"['USA', 'Germany']",7.2,$32.77M,2004
Sleepover,['USA'],5.3,$8.07M,2004
Miracle,"['Canada', 'USA']",7.5,$64.37M,2004
Along Came Polly,['USA'],5.9,$87.86M,2004
Wimbledon,"['UK', 'France', 'USA']",6.3,$16.83M,2004
Starsky & Hutch,['USA'],6.1,$88.20M,2004
Taking Lives,['USA'],6.2,$32.68M,2004
The Ladykillers,['USA'],6.2,$39.69M,2004
Taxi,"['USA', 'France']",4.4,$36.61M,2004
The Prince and Me,"['USA', 'Czech Republic']",5.9,$28.17M,2004
Wicker Park,['USA'],7.0,$12.83M,2004
The Motorcycle Diaries,"['Argentina', 'USA', 'Chile', 'Peru', 'Brazil', 'UK', 'Germany', 'France']",7.8,$16.76M,2004
Cellular,"['USA', 'Germany']",6.5,$32.00M,2004
A Very Long Engagement,"['France', 'USA']",7.7,$6.17M,2004
Mean Creek,['USA'],7.3,$0.60M,2004
The SpongeBob SquarePants Movie,['USA'],7.0,$85.42M,2004
House of Flying Daggers,"['China', 'Hong Kong']",7.6,$11.04M,2004
First Daughter,['USA'],5.0,$9.06M,2004
xXx: State of the Union,['USA'],4.3,$26.08M,2005
V for Vendetta,"['USA', 'UK', 'Germany']",8.2,$70.50M,2005
Harry Potter and the Goblet of Fire,"['UK', 'USA']",7.7,$289.99M,2005
Batman Begins,"['USA', 'UK']",8.3,$205.34M,2005
Star Wars: Episode III - Revenge of the Sith,['USA'],7.6,$380.26M,2005
